Latitude,Longitude,Accident_Count,Average_Severity,Severity_Score,Risk_Score
37.808,-122.367,36,3.0,108,108.0
37.838,-122.297,21,3.0,63,63.0
37.825,-122.306,18,3.0,54,54.0
37.867,-122.304,16,3.0,48,48.0
37.741,-121.586,14,3.0,42,42.0
37.669,-122.109,14,3.0,42,42.0
38.641,-121.457,13,3.0,39,39.0
37.666,-122.107,13,3.0,39,39.0
38.525,-121.468,19,2.0526315789473686,39,39.0
37.364,-121.902,15,2.6,39,39.0
38.217,-122.138,13,3.0,39,39.0
37.709,-121.724,13,2.923076923076923,38,38.0
38.564,-121.637,13,2.923076923076923,38,38.0
37.324,-121.893,14,2.642857142857143,37,37.0
37.786,-122.391,12,3.0,36,36.0
38.025,-122.112,12,3.0,36,36.0
37.146,-121.985,17,2.0,34,34.0
37.878,-122.307,11,3.0,33,33.0
37.719,-121.662,11,3.0,33,33.0
37.701,-121.923,11,3.0,33,33.0
